Kod;Produktgrupp;Artikelnr;RSK-nr;Benämning;Rabatt;Rabatt2;NtoPris;ArtRabatt
V;306253;;;Tillbehör Evopipe Evopipes;59,19;;;;
V;306254;;;SRE TÄTA Evopipes;55,87;;;;
V;306300;;;Optokanalisation Melbye;64,11;;;;
V;306304;;;Varningsnät Melbye;66,83;;;;
V;306306;;;PROtrough 350 Melbye;38,42;;;;
V;306400;;;Kabelskydd tillbehör PM9F1;63,68;;;;
V;306401;;;Kabelskydd tillbehör PM9F2;62,60;;;;
V;306402;;; AKK/AKS/AKÖ PM9P2;62,16;;;;
V;306403;;;Grenklämma PM9P2;64,27;;;;
V;306404;;;Flexibelt kabelskydd PM9P2;63,67;;;;
V;306410;;;Kabelskydd Rak  PM Flex PM9A1;61,71;;;;
V;306411;;;Kabelskydd Rak  PM Flex PM9A2;60,93;;;;
V;306413;;;Kabelskydd böj PM9B2;60,93;;;;
V;306415;;;Kabelskydd avslut PM9C2;65,50;;;;
V;306417;;;Kabelskydd T-Kors PM9D2;60,91;;;;
V;306419;;;Kabelskydd rak PM9L2;60,91;;;;
V;306420;;;Kabelskydd Skarv PM Flex;38,07;;;;
V;306421;;;Kabelskydd Snabbfäste PM Flex;38,07;;;;
V;306450;;;HEXATRONIC VARNINGSNÄT;70,73;;;;
V;306700;;;Optokanlisation Wavin N;45,00;;;;
V;306706;;;Optokanlisation Wavin 42;43,62;;;;
V;306710;;;Optokanalisation ochTbh Wavin 47;55,66;;;;
V;306714;;;OptokanalisationTbh Wavin 42;30,87;;;;
V;306800;;;Häng- och spänndon Scandicwire;66,86;;;;
V;306806;;;Najtråd Scandicwire;64,89;;;;
V;306850;;;Varningsskyltar;65,86;;;;
V;306855;;;Informations och varningsskyltar Rutab;61,80;;;;
V;306902;;;Stag & Najningsmateriel Ensto;61,85;;;;
V;306904;;;Stag & Najningsmtrl Scandicwire;85,59;;;;
V;306910;;;Skyltar II Hammarprodukter;63,06;;;;
V;306914;;;Skyltar I Hammarprodukter;68,66;;;;
V;306916;;;Potentialutjämningsmtr Elrond;63,27;;;;
V;306920;;;Potentialutjämningsmtr MP;62,20;;;;
